2023-02-19 11:53:59 configure libwebp6:amd64 0.6.1-2.1 <none>
2023-02-19 11:53:59 status unpacked libwebp6:amd64 0.6.1-2.1
2023-02-19 11:53:59 status half-configured libwebp6:amd64 0.6.1-2.1
2023-02-19 11:53:59 status installed libwebp6:amd64 0.6.1-2.1
2023-02-19 11:53:59 configure fonts-dejavu-core:all 2.37-2 <none>
2023-02-19 11:53:59 status unpacked fonts-dejavu-core:all 2.37-2
2023-02-19 11:53:59 status half-configured fonts-dejavu-core:all 2.37-2
2023-02-19 11:53:59 status installed fonts-dejavu-core:all 2.37-2
2023-02-19 11:53:59 configure libubsan1:amd64 10.2.1-6 <none>
2023-02-19 11:53:59 status unpacked libubsan1:amd64 10.2.1-6
2023-02-19 11:53:59 status half-configured libubsan1:amd64 10.2.1-6
2023-02-19 11:53:59 status installed libubsan1:amd64 10.2.1-6
2023-02-19 11:53:59 configure libnsl-dev:amd64 1.3.0-2 <none>
2023-02-19 11:53:59 status unpacked libnsl-dev:amd64 1.3.0-2
2023-02-19 11:53:59 status half-configured libnsl-dev:amd64 1.3.0-2
2023-02-19 11:53:59 status installed libnsl-dev:amd64 1.3.0-2
2023-02-19 11:53:59 configure sensible-utils:all 0.0.14 <none>
2023-02-19 11:53:59 status unpacked sensible-utils:all 0.0.14
2023-02-19 11:53:59 status half-configured sensible-utils:all 0.0.14
2023-02-19 11:53:59 status installed sensible-utils:all 0.0.14
2023-02-19 11:53:59 configure libcrypt-dev:amd64 1:4.4.18-4 <none>
2023-02-19 11:53:59 status unpacked libcrypt-dev:amd64 1:4.4.18-4
2023-02-19 11:53:59 status half-configured libcrypt-dev:amd64 1:4.4.18-4
2023-02-19 11:53:59 status installed libcrypt-dev:amd64 1:4.4.18-4
2023-02-19 11:53:59 configure libx11-6:amd64 2:1.7.2-1 <none>
2023-02-19 11:53:59 status unpacked libx11-6:amd64 2:1.7.2-1
2023-02-19 11:53:59 status half-configured libx11-6:amd64 2:1.7.2-1
2023-02-19 11:53:59 status installed libx11-6:amd64 2:1.7.2-1
2023-02-19 11:53:59 configure libtiff5:amd64 4.2.0-1+deb11u3 <none>
2023-02-19 11:53:59 status unpacked libtiff5:amd64 4.2.0-1+deb11u3
2023-02-19 11:53:59 status half-configured libtiff5:amd64 4.2.0-1+deb11u3
2023-02-19 11:53:59 status installed libtiff5:amd64 4.2.0-1+deb11u3
2023-02-19 11:53:59 configure libbinutils:amd64 2.35.2-2 <none>
2023-02-19 11:53:59 status unpacked libbinutils:amd64 2.35.2-2
2023-02-19 11:53:59 status half-configured libbinutils:amd64 2.35.2-2
2023-02-19 11:53:59 status installed libbinutils:amd64 2.35.2-2
2023-02-19 11:53:59 configure libisl23:amd64 0.23-1 <none>
2023-02-19 11:53:59 status unpacked libisl23:amd64 0.23-1
2023-02-19 11:53:59 status half-configured libisl23:amd64 0.23-1
2023-02-19 11:53:59 status installed libisl23:amd64 0.23-1
2023-02-19 11:53:59 configure libc-dev-bin:amd64 2.31-13+deb11u5 <none>
2023-02-19 11:53:59 status unpacked libc-dev-bin:amd64 2.31-13+deb11u5
